bar_sequence,is_winner,avg_candle_range,avg_vol_delta,avg_vol_roc,avg_sma_spread,avg_cvd_slope,trade_count
0,False,0.26016668762278977,-7826.037779960708,103.63894142011834,0.17960028796844182,-0.02501955992141454,509
0,True,0.27104120583468394,2471.079286871961,194.26234019607844,0.20883270588235295,0.03424237745098039,617
1,False,0.2602836227897839,-14567.275913555992,178.11696692913387,0.18657845078740157,-0.01800890373280943,509
1,True,0.2627766726094003,15056.305948136143,53.484784640522875,0.2074027205882353,0.03518451470588235,617
2,False,0.2464341591355599,-6262.057249508841,24.342985265225934,0.19451478388998036,-0.008868422396856581,509
2,True,0.26781656077795785,29223.16128038898,245.44724362745097,0.21071261764705881,0.0353295,617
3,False,0.26501435559921416,-1387.814734774067,55.8113394891945,0.1976289390962672,-0.0019022023575638507,509
3,True,0.2934945769854133,27618.303128038897,88.10388251633987,0.2149603431372549,0.03720648039215686,617
4,False,0.26556968762278976,-2140.0256581532417,33.36764813359528,0.20297654616895874,0.004291846758349705,509
4,True,0.2819521928687196,29232.93648298217,156.09158055555557,0.21823183333333335,0.039246962418300654,617
5,False,0.2849142268244576,2286.4074753451678,318.2139970414201,0.2053772445759369,0.008121834319526627,507
5,True,0.3199944667747164,30211.32940032415,350.843418627451,0.22319165849673203,0.036605871544715445,617
6,False,0.2897067573964497,3800.7280276134125,72.49526291913214,0.20731863116370808,0.011311473372781065,507
6,True,0.32320789141004863,27435.651717990277,236.46788790849672,0.22796143464052288,0.0371407288961039,617
7,False,0.2786050591715976,7865.820078895464,107.75013293885601,0.2118505818540434,0.01278563708086785,507
7,True,0.31421394975688816,7758.388541329012,488.1169700980392,0.23272626307189542,0.03759368344155844,617
8,False,0.27767131485148516,5556.351128712871,36.04140712871287,0.2109797485148515,0.019943225742574257,505
8,True,0.3271001296596434,-7295.053468395462,206.08752859477124,0.23741060620915033,0.03240169967532468,617
9,False,0.2816866594059406,17384.285663366336,26.33104594059406,0.2125508792079208,0.02300690693069307,505
9,True,0.2950679141004862,-14477.899303079417,384.4947382352941,0.24202888562091504,0.025153258116883116,617
10,False,0.2764414495049505,15154.967782178219,161.22080752475247,0.21328548514851486,0.025598352475247523,505
10,True,0.3247309105691057,-16476.324097560977,189.92565213114753,0.24262026393442623,0.017171559349593496,615
11,False,0.2656630594059406,19251.026158415843,64.53458732673268,0.21612116435643564,0.028422946534653465,505
11,True,0.31049504582651394,-18396.251112929625,834.1632223316913,0.24298345977011493,0.01378983960720131,611
12,False,0.2964815326732673,20064.337643564355,213.6956611881188,0.21754373465346535,0.026594247524752476,505
12,True,0.30211437643207856,-8654.45147299509,381.93688786885247,0.24046603442622952,0.013222178396072013,611
13,False,0.28920399405940594,16288.138633663366,139.9856803960396,0.2185381782178218,0.026658942574257424,505
13,True,0.3051506955810147,8967.650752864158,88.62731409836066,0.23863354918032786,0.012523847790507366,611
14,False,0.2910577128712871,23654.377623762375,142.13144851485148,0.22154236237623762,0.027827821782178217,505
14,True,0.3006776563011457,14370.025630114566,52.32879327868852,0.2427734426229508,0.012624908346972177,611
15,False,0.2959998811881188,19055.223603960396,174.2181398019802,0.22537137227722773,0.029715235643564358,505
15,True,0.31283389034369885,10223.564582651392,109.8075144262295,0.25004418032786885,0.01412053518821604,611
16,False,0.2845312237623762,17797.162415841583,13.95120891089109,0.2279498514851485,0.028405827722772278,505
16,True,0.30395203273322424,13100.222831423895,107.17492209492634,0.26336313911620296,0.012088327332242226,611
17,False,0.2939479623762376,19912.29582178218,59.74454257425742,0.22826699009900991,0.027173590099009902,505
17,True,0.30557593453355153,17646.343306055645,27.53305433715221,0.26895091653027825,0.012754207855973813,611
18,False,0.3199280613861386,26543.65603960396,191.92065782178219,0.2265721306930693,0.02781108910891089,505
18,True,0.31966057774140755,18787.98595744681,35.78666235679214,0.2755152029459902,0.02117812929623568,611
19,False,0.31806406138613863,8824.689148514852,398.9407079207921,0.22380052475247525,0.02829969900990099,505
19,True,0.3121880998363339,28262.510098199673,116.45410409165302,0.2786358199672668,0.02871746153846154,611
20,False,0.3413333702970297,14062.820495049506,521.7328631683168,0.2243614613861386,0.0268567702970297,505
20,True,0.3291243967213115,28709.071393442624,35.783819672131145,0.27905311147540984,0.03347639180327869,610
21,False,0.33276906732673267,15176.759089108911,204.3475306930693,0.22065902376237623,0.02604859405940594,505
21,True,0.3342438295081967,35582.463393442624,87.1390337704918,0.2794498049180328,0.04259124262295082,610
22,False,0.36548507524752477,11807.787881188118,386.1654920792079,0.21927109702970296,0.025027178217821782,505
22,True,0.31325394590163935,25909.937901639343,172.38610737704917,0.27640501147540986,0.045759491803278686,610
23,False,0.34394142178217824,7422.304930693069,232.8903887128713,0.2179641108910891,0.022746346534653464,505
23,True,0.34293207704918033,17628.578409836067,221.31804360655738,0.26927899344262296,0.05008892786885246,610
24,False,0.36099316237623763,7910.721326732673,583.7966201980198,0.22082258217821782,0.018292934653465348,505
24,True,0.35069424590163933,12750.77931147541,209.47925196721312,0.26001871803278687,0.049774375409836064,610
