sma_config,h1_structure,m15_structure,vol_roc_level,candle_level,trades,wins,win_rate,avg_r
BEAR,BEAR,BULL,NORMAL,ABSORPTION,25,20,80.0,2.16
BULL,BULL,BULL,NORMAL,ABSORPTION,27,21,77.8,2.48
BULL,BEAR,BEAR,NORMAL,NORMAL,75,55,73.3,1.93
BULL,BEAR,BULL,NORMAL,ABSORPTION,23,16,69.6,1.96
BULL,BULL,BEAR,NORMAL,ABSORPTION,58,40,69.0,1.21
BEAR,BEAR,BEAR,NORMAL,NORMAL,57,38,66.7,1.96
BULL,BULL,BEAR,ELEVATED,NORMAL,39,26,66.7,2.21
BULL,BULL,BEAR,NORMAL,NORMAL,117,73,62.4,1.41
BEAR,BEAR,BEAR,ELEVATED,NORMAL,36,22,61.1,1.92
BULL,BEAR,BULL,NORMAL,NORMAL,22,13,59.1,1.73
BEAR,BEAR,BULL,NORMAL,NORMAL,39,23,59.0,1.87
BEAR,BEAR,BEAR,NORMAL,LOW,23,13,56.5,2.0
BULL,BEAR,BEAR,NORMAL,ABSORPTION,38,21,55.3,1.24
BEAR,BULL,BULL,NORMAL,ABSORPTION,36,19,52.8,0.61
BEAR,BEAR,BEAR,NORMAL,ABSORPTION,21,11,52.4,1.14
BEAR,BULL,BEAR,NORMAL,NORMAL,43,21,48.8,1.42
BULL,BULL,BEAR,NORMAL,LOW,25,12,48.0,0.32
BULL,BULL,BULL,NORMAL,NORMAL,93,43,46.2,0.39
BULL,BULL,BULL,ELEVATED,NORMAL,31,14,45.2,0.68
BEAR,BULL,BEAR,NORMAL,ABSORPTION,21,7,33.3,0.24
BEAR,BULL,BULL,ELEVATED,NORMAL,29,9,31.0,0.62
BEAR,BULL,BULL,NORMAL,NORMAL,89,24,27.0,0.12
BEAR,BEAR,BULL,ELEVATED,NORMAL,34,4,11.8,-0.56
