phase,bar_sequence,is_winner,avg_value,trade_count
ramp_up,0,False,103.63894142011834,507
ramp_up,0,True,194.26234019607844,612
ramp_up,1,False,178.11696692913387,508
ramp_up,1,True,53.484784640522875,612
ramp_up,2,False,24.342985265225934,509
ramp_up,2,True,245.44724362745097,612
ramp_up,3,False,55.8113394891945,509
ramp_up,3,True,88.10388251633987,612
ramp_up,4,False,33.36764813359528,509
ramp_up,4,True,156.09158055555557,612
ramp_up,5,False,318.2139970414201,507
ramp_up,5,True,350.843418627451,612
ramp_up,6,False,72.49526291913214,507
ramp_up,6,True,236.46788790849672,612
ramp_up,7,False,107.75013293885601,507
ramp_up,7,True,488.1169700980392,612
ramp_up,8,False,36.04140712871287,505
ramp_up,8,True,206.08752859477124,612
ramp_up,9,False,26.33104594059406,505
ramp_up,9,True,384.4947382352941,612
ramp_up,10,False,161.22080752475247,505
ramp_up,10,True,189.92565213114753,610
ramp_up,11,False,64.53458732673268,505
ramp_up,11,True,834.1632223316913,609
ramp_up,12,False,213.6956611881188,505
ramp_up,12,True,381.93688786885247,610
ramp_up,13,False,139.9856803960396,505
ramp_up,13,True,88.62731409836066,610
ramp_up,14,False,142.13144851485148,505
ramp_up,14,True,52.32879327868852,610
ramp_up,15,False,174.2181398019802,505
ramp_up,15,True,109.8075144262295,610
ramp_up,16,False,13.95120891089109,505
ramp_up,16,True,107.17492209492634,611
ramp_up,17,False,59.74454257425742,505
ramp_up,17,True,27.53305433715221,611
ramp_up,18,False,191.92065782178219,505
ramp_up,18,True,35.78666235679214,611
ramp_up,19,False,398.9407079207921,505
ramp_up,19,True,116.45410409165302,611
ramp_up,20,False,521.7328631683168,505
ramp_up,20,True,35.783819672131145,610
ramp_up,21,False,204.3475306930693,505
ramp_up,21,True,87.1390337704918,610
ramp_up,22,False,386.1654920792079,505
ramp_up,22,True,172.38610737704917,610
ramp_up,23,False,232.8903887128713,505
ramp_up,23,True,221.31804360655738,610
ramp_up,24,False,583.7966201980198,505
ramp_up,24,True,209.47925196721312,610
post_trade,0,False,588.8197365422396,509
post_trade,0,True,320.3532348460292,617
post_trade,1,False,29.047078388998035,509
post_trade,1,True,22.77092220421394,617
post_trade,2,False,33.18025540275049,509
post_trade,2,True,12.545551539708265,617
post_trade,3,False,15.551742632612967,509
post_trade,3,True,17.948562398703405,617
post_trade,4,False,6.568743614931238,509
post_trade,4,True,3.278396758508914,617
post_trade,5,False,3.564354616895874,509
post_trade,5,True,-1.5772414910858994,617
post_trade,6,False,0.9908842829076621,509
post_trade,6,True,-3.8374413290113454,617
post_trade,7,False,-5.819889980353635,509
post_trade,7,True,-2.1436259319286872,617
post_trade,8,False,-3.1297110019646364,509
post_trade,8,True,-3.8747160453808753,617
post_trade,9,False,-1.466232416502947,509
post_trade,9,True,-5.4436674230145865,617
post_trade,10,False,-5.866921611001964,509
post_trade,10,True,-10.025913776337115,617
post_trade,11,False,-3.5910575638506876,509
post_trade,11,True,-3.660534035656402,617
post_trade,12,False,-0.6791585461689588,509
post_trade,12,True,-7.463959481361426,617
post_trade,13,False,-5.9833121807465615,509
post_trade,13,True,-2.818782333873582,617
post_trade,14,False,-5.4172611001964635,509
post_trade,14,True,-5.044873743922204,617
post_trade,15,False,-7.3915557956777995,509
post_trade,15,True,-5.44137017828201,617
post_trade,16,False,-3.118095677799607,509
post_trade,16,True,-4.328754294975689,617
post_trade,17,False,-2.364133202357564,509
post_trade,17,True,-8.69528606158833,617
post_trade,18,False,-4.364196660117878,509
post_trade,18,True,-6.705292058346839,617
post_trade,19,False,-6.076840864440078,509
post_trade,19,True,-7.679316855753647,617
post_trade,20,False,-3.4298471512770137,509
post_trade,20,True,-4.147073905996758,617
post_trade,21,False,-9.75765166994106,509
post_trade,21,True,-8.188343111831443,617
post_trade,22,False,-7.391163654223969,509
post_trade,22,True,-6.300998379254457,617
post_trade,23,False,-8.065609233791749,509
post_trade,23,True,-3.869421393841167,617
post_trade,24,False,-8.979423379174852,509
post_trade,24,True,-5.937421069692058,617
