setup_score,trades,wins,avg_r,win_rate
0,144,73,0.88,50.7
1,369,164,0.62,44.4
2,466,223,0.89,47.9
3,510,274,1.1,53.7
4,346,151,0.77,43.6
5,159,66,0.67,41.5
6,25,9,0.8,36.0
