Time,Symbol,Side,Price,Qty,Route,Account,Type,Cloid,
09:36:07,AAPL,SS,263.28,15,SMAT,TRIB13971,Short,AUTO,
09:38:42,AAPL,B,264.08,15,SMAT,TRIB13971,Margin,AUTO,
09:41:00,MU,B,400.15,5,SMAT,TRIB13971,Margin,AUTO,
09:48:12,MU,S,405.73,10,SMAT,TRIB13971,Margin,AUTO,
09:48:03,MU,S,406.8,10,SMAT,TRIB13971,Margin,AUTO,
09:37:03,GOOGL,SS,302.91,10,SMAT,TRIB13971,Short,AUTO,
09:43:47,MU,B,405.98,10,SMAT,TRIB13971,Margin,AUTO,
09:41:47,MU,B,400.28,10,SMAT,TRIB13971,Margin,AUTO,
09:36:29,MU,SS,401.16,5,SMAT,TRIB13971,Short,AUTO,
09:56:10,GOOGL,B,302.87,10,SMAT,TRIB13971,Margin,AUTO,
