trade_id,ticker,date,direction,model,zone_type,entry_time,entry_price,is_winner,pnl_r,max_r_achieved,bar_date,bar_time,open,high,low,close,volume,candle_range_pct,vol_delta_raw,vol_delta_roll,vol_roc,sma9,sma21,sma_config,sma_spread_pct,sma_momentum_label,price_position,cvd_slope,m5_structure,m15_structure,h1_structure,health_score,long_score,short_score,calculated_at
QQQ_020926_EPCH2_0934_1,QQQ,2026-02-09,SHORT,EPCH2,PRIMARY,09:34:30,607.09,False,-1.0,-1,2026-02-09,09:33:00,606.84,607.43,606.06,607.3,380727,0.225589,308472.24,371119.16,264.6412,607.2417,607.4231,BEAR,0.029874,STABLE,BTWN,0.008008,BULL,BULL,BULL,6,4,4,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0934_2,QQQ,2026-02-09,SHORT,EPCH2,PRIMARY,09:34:45,607.1999,True,2.0,2,2026-02-09,09:33:00,606.84,607.43,606.06,607.3,380727,0.225589,308472.24,371119.16,264.6412,607.2417,607.4231,BEAR,0.029874,STABLE,BTWN,0.008008,BULL,BULL,BULL,6,4,4,2026-02-15 17:41:10.423787+00:00
AMD_020926_EPCH4_0935,AMD,2026-02-09,SHORT,EPCH4,SECONDARY,09:35:00,206.92,False,-1.0,-1,2026-02-09,09:34:00,207.05,208.26,206.73,207.71,359532,0.736604,101044.94,117494.13,265.7484,206.9232,207.5028,BEAR,0.279039,WIDENING,ABOVE,-0.098953,BULL,BULL,BULL,10,5,4,2026-02-15 17:41:10.423787+00:00
DIA_020926_EPCH2_0935,DIA,2026-02-09,LONG,EPCH2,PRIMARY,09:35:00,500.46,False,-1.0,-1,2026-02-09,09:34:00,499.96,500.275,499.91,500.15,37950,0.072978,11956.85,-163613.12,13.6501,500.055,500.1345,BEAR,0.015901,NARROWING,ABOVE,-0.321803,BULL,BULL,BEAR,2,1,0,2026-02-15 17:41:10.423787+00:00
DIA_020926_EPCH4_0935,DIA,2026-02-09,LONG,EPCH4,SECONDARY,09:35:00,500.46,False,-1.0,-1,2026-02-09,09:34:00,499.96,500.275,499.91,500.15,37950,0.072978,11956.85,-163613.12,13.6501,500.055,500.1345,BEAR,0.015901,NARROWING,ABOVE,-0.321803,BULL,BULL,BEAR,2,1,0,2026-02-15 17:41:10.423787+00:00
AMD_020926_EPCH4_0935_1,AMD,2026-02-09,SHORT,EPCH4,SECONDARY,09:35:15,206.73,False,-1.0,-1,2026-02-09,09:34:00,207.05,208.26,206.73,207.71,359532,0.736604,101044.94,117494.13,265.7484,206.9232,207.5028,BEAR,0.279039,WIDENING,ABOVE,-0.098953,BULL,BULL,BULL,10,5,4,2026-02-15 17:41:10.423787+00:00
AMD_020926_EPCH4_0935_2,AMD,2026-02-09,SHORT,EPCH4,SECONDARY,09:35:30,206.91,False,-1.0,-1,2026-02-09,09:34:00,207.05,208.26,206.73,207.71,359532,0.736604,101044.94,117494.13,265.7484,206.9232,207.5028,BEAR,0.279039,WIDENING,ABOVE,-0.098953,BULL,BULL,BULL,10,5,4,2026-02-15 17:41:10.423787+00:00
AMD_020926_EPCH3_0936,AMD,2026-02-09,LONG,EPCH3,SECONDARY,09:36:00,209.53,True,5.0,5,2026-02-09,09:35:00,207.69,207.8,206.56,207.635,174890,0.597202,128346.69,736752.68,50.7277,206.8637,207.4892,BEAR,0.301233,WIDENING,ABOVE,-0.031581,BEAR,BULL,BULL,10,5,4,2026-02-15 17:41:10.423787+00:00
DIA_020926_EPCH1_0936,DIA,2026-02-09,SHORT,EPCH1,PRIMARY,09:36:15,499.44,False,-1.0,-1,2026-02-09,09:35:00,500.14,500.61,500.01,500.03,178162,0.119993,-166284.53,-170814.36,405.0244,500.0483,500.1179,BEAR,0.013905,NARROWING,BELOW,-0.343533,BULL,BULL,BEAR,4,2,1,2026-02-15 17:41:10.423787+00:00
DIA_020926_EPCH3_0936,DIA,2026-02-09,SHORT,EPCH3,SECONDARY,09:36:15,499.44,False,-1.0,-1,2026-02-09,09:35:00,500.14,500.61,500.01,500.03,178162,0.119993,-166284.53,-170814.36,405.0244,500.0483,500.1179,BEAR,0.013905,NARROWING,BELOW,-0.343533,BULL,BULL,BEAR,4,2,1,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0936,QQQ,2026-02-09,SHORT,EPCH2,PRIMARY,09:36:15,607.31,False,-1.0,-1,2026-02-09,09:35:00,607.19,607.42,606.4437,607.4,401901,0.160734,385434.71,1043564.26,186.7366,607.1224,607.3745,BEAR,0.041509,STABLE,ABOVE,0.092427,BEAR,BULL,BULL,6,4,4,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0936_1,QQQ,2026-02-09,SHORT,EPCH2,PRIMARY,09:36:30,607.001,False,-1.0,-1,2026-02-09,09:35:00,607.19,607.42,606.4437,607.4,401901,0.160734,385434.71,1043564.26,186.7366,607.1224,607.3745,BEAR,0.041509,STABLE,ABOVE,0.092427,BEAR,BULL,BULL,6,4,4,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH4_0939,GOOG,2026-02-09,LONG,EPCH4,SECONDARY,09:39:30,322.28,True,4.0,4,2026-02-09,09:38:00,323.23,323.23,322.45,322.61,107765,0.241778,-63553.72,71353.33,1.8941,322.095,321.4458,BULL,0.201245,WIDENING,ABOVE,0.103014,BEAR,BEAR,BEAR,8,3,4,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH1_0940,QQQ,2026-02-09,LONG,EPCH1,PRIMARY,09:40:45,609.35,False,-1.0,-1,2026-02-09,09:39:00,607.91,609.17,607.76,609.155,424678,0.231468,415642.3,955969.02,108.639,607.5189,607.4348,BULL,0.013805,NARROWING,ABOVE,0.258022,BEAR,BULL,BULL,6,4,5,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0941,QQQ,2026-02-09,LONG,EPCH2,PRIMARY,09:41:00,609.44,True,3.0,3,2026-02-09,09:40:00,609.15,609.39,608.9,609.35,410722,0.080414,343665.35,914199.66,83.3557,607.8605,607.5343,BULL,0.053538,WIDENING,ABOVE,0.309599,BEAR,BULL,BULL,8,2,3,2026-02-15 17:41:10.423787+00:00
SPY_020926_EPCH2_0941,SPY,2026-02-09,SHORT,EPCH2,PRIMARY,09:41:30,691.1888,False,-1.0,-1,2026-02-09,09:40:00,691.14,691.3,690.91,691.175,439709,0.056426,157844.26,841065.27,80.0304,690.2317,689.651,BULL,0.084009,WIDENING,ABOVE,0.355671,BULL,BULL,BULL,8,2,3,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0942,QQQ,2026-02-09,LONG,EPCH2,PRIMARY,09:42:30,609.3899,True,3.0,3,2026-02-09,09:41:00,609.34,609.71,608.98,608.99,371865,0.119871,-361676.92,563885.84,52.4592,608.0994,607.6138,BULL,0.079739,WIDENING,ABOVE,0.315172,BEAR,BULL,BULL,8,2,3,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH4_0942,GOOG,2026-02-09,LONG,EPCH4,SECONDARY,09:42:30,322.1,True,2.0,2,2026-02-09,09:41:00,323.09,323.31,322.41,322.47,121277,0.279096,-105106.73,-21082.08,0.3728,322.925,321.736,BULL,0.368716,WIDENING,BTWN,0.143655,BEAR,BEAR,BEAR,8,3,3,2026-02-15 17:41:10.423787+00:00
SPY_020926_EPCH2_0942,SPY,2026-02-09,SHORT,EPCH2,PRIMARY,09:42:30,691.31,True,4.0,4,2026-02-09,09:41:00,691.165,691.43,690.88,690.91,373295,0.079605,-332571.91,534195.52,40.4022,690.3861,689.741,BULL,0.093369,WIDENING,ABOVE,0.344204,BULL,BULL,BULL,6,2,3,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0943,QQQ,2026-02-09,LONG,EPCH2,PRIMARY,09:43:00,609.35,True,3.0,3,2026-02-09,09:42:00,609.01,609.65,608.71,609.6299,356042,0.154192,340815.52,633055.25,35.8631,608.3583,607.7276,BULL,0.103452,WIDENING,ABOVE,0.333551,BEAR,BULL,BULL,8,4,5,2026-02-15 17:41:10.423787+00:00
SPY_020926_EPCH2_0943,SPY,2026-02-09,SHORT,EPCH2,PRIMARY,09:43:00,691.2,True,4.0,4,2026-02-09,09:42:00,690.89,691.52,690.81,691.519,362682,0.102673,361660.36,542431.88,27.7192,690.5793,689.8619,BULL,0.103744,WIDENING,ABOVE,0.346159,BULL,BULL,BULL,8,1,2,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0943_1,QQQ,2026-02-09,LONG,EPCH2,PRIMARY,09:43:15,609.3559,True,3.0,3,2026-02-09,09:42:00,609.01,609.65,608.71,609.6299,356042,0.154192,340815.52,633055.25,35.8631,608.3583,607.7276,BULL,0.103452,WIDENING,ABOVE,0.333551,BEAR,BULL,BULL,8,4,5,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH4_0943,GOOG,2026-02-09,LONG,EPCH4,SECONDARY,09:43:30,322.03,False,-1.0,-1,2026-02-09,09:42:00,322.37,322.54,321.87,322.46,135171,0.207778,102891.36,-348.02,6.5858,322.8789,321.8222,BULL,0.327699,WIDENING,BTWN,0.152683,BEAR,BEAR,BEAR,8,3,3,2026-02-15 17:41:10.423787+00:00
DIA_020926_EPCH2_0943,DIA,2026-02-09,SHORT,EPCH2,PRIMARY,09:43:45,499.56,True,3.0,3,2026-02-09,09:42:00,499.67,499.92,499.58,499.825,38705,0.068024,17075.74,-104148.53,-42.5428,499.8978,499.9707,BEAR,0.014592,NARROWING,BELOW,-0.396886,BULL,BULL,BEAR,2,1,0,2026-02-15 17:41:10.423787+00:00
DIA_020926_EPCH4_0943,DIA,2026-02-09,SHORT,EPCH4,SECONDARY,09:43:45,499.56,True,3.0,3,2026-02-09,09:42:00,499.67,499.92,499.58,499.825,38705,0.068024,17075.74,-104148.53,-42.5428,499.8978,499.9707,BEAR,0.014592,NARROWING,BELOW,-0.396886,BULL,BULL,BEAR,2,1,0,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH4_0943_1,GOOG,2026-02-09,LONG,EPCH4,SECONDARY,09:43:45,321.98,False,-1.0,-1,2026-02-09,09:42:00,322.37,322.54,321.87,322.46,135171,0.207778,102891.36,-348.02,6.5858,322.8789,321.8222,BULL,0.327699,WIDENING,BTWN,0.152683,BEAR,BEAR,BEAR,8,3,3,2026-02-15 17:41:10.423787+00:00
DIA_020926_EPCH4_0944,DIA,2026-02-09,SHORT,EPCH4,SECONDARY,09:44:00,499.58,True,3.0,3,2026-02-09,09:43:00,499.9,499.96,499.54,499.56,35103,0.084074,-31759.86,-117681.01,-49.2868,499.8322,499.9521,BEAR,0.024005,WIDENING,BELOW,-0.365139,BULL,BULL,BEAR,4,1,0,2026-02-15 17:41:10.423787+00:00
DIA_020926_EPCH2_0944,DIA,2026-02-09,SHORT,EPCH2,PRIMARY,09:44:00,499.58,True,3.0,3,2026-02-09,09:43:00,499.9,499.96,499.54,499.56,35103,0.084074,-31759.86,-117681.01,-49.2868,499.8322,499.9521,BEAR,0.024005,WIDENING,BELOW,-0.365139,BULL,BULL,BEAR,4,1,0,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0944,QQQ,2026-02-09,LONG,EPCH2,PRIMARY,09:44:00,609.39,True,3.0,3,2026-02-09,09:43:00,609.62,609.71,609.05,609.24,308750,0.108332,-130984.85,607461.4,10.4046,608.585,607.8248,BULL,0.124782,WIDENING,ABOVE,0.331403,BEAR,BULL,BULL,8,1,2,2026-02-15 17:41:10.423787+00:00
DIA_020926_EPCH4_0944_1,DIA,2026-02-09,SHORT,EPCH4,SECONDARY,09:44:15,499.54,True,3.0,3,2026-02-09,09:43:00,499.9,499.96,499.54,499.56,35103,0.084074,-31759.86,-117681.01,-49.2868,499.8322,499.9521,BEAR,0.024005,WIDENING,BELOW,-0.365139,BULL,BULL,BEAR,4,1,0,2026-02-15 17:41:10.423787+00:00
DIA_020926_EPCH2_0944_1,DIA,2026-02-09,SHORT,EPCH2,PRIMARY,09:44:15,499.54,True,3.0,3,2026-02-09,09:43:00,499.9,499.96,499.54,499.56,35103,0.084074,-31759.86,-117681.01,-49.2868,499.8322,499.9521,BEAR,0.024005,WIDENING,BELOW,-0.365139,BULL,BULL,BEAR,4,1,0,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH4_0944,GOOG,2026-02-09,LONG,EPCH4,SECONDARY,09:44:45,321.99,False,-1.0,-1,2026-02-09,09:43:00,322.46,322.71,321.7,321.98,92720,0.313684,-41310.89,21894.81,-30.5446,322.7689,321.8812,BULL,0.275685,WIDENING,BTWN,0.153999,BEAR,BEAR,BEAR,6,3,4,2026-02-15 17:41:10.423787+00:00
SPY_020926_EPCH2_0945,SPY,2026-02-09,SHORT,EPCH2,PRIMARY,09:45:00,691.28,True,4.0,4,2026-02-09,09:44:00,691.06,691.23,690.95,691.195,259713,0.04051,194784.75,166095.62,-17.371,690.8477,690.0599,BULL,0.113965,WIDENING,ABOVE,0.308073,BULL,BULL,BULL,8,1,2,2026-02-15 17:41:10.423787+00:00
SPY_020926_EPCH2_0945_1,SPY,2026-02-09,SHORT,EPCH2,PRIMARY,09:45:15,691.035,False,-1.0,-1,2026-02-09,09:44:00,691.06,691.23,690.95,691.195,259713,0.04051,194784.75,166095.62,-17.371,690.8477,690.0599,BULL,0.113965,WIDENING,ABOVE,0.308073,BULL,BULL,BULL,8,1,2,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0946,QQQ,2026-02-09,LONG,EPCH2,PRIMARY,09:46:00,609.7433,True,2.0,2,2026-02-09,09:45:00,609.77,610.18,609.27,609.4,397381,0.149327,-283843.57,-213212.94,28.9022,609.075,608.0376,BULL,0.170227,WIDENING,ABOVE,0.311954,BEAR,BEAR,BULL,8,2,1,2026-02-15 17:41:10.423787+00:00
SPY_020926_EPCH2_0946,SPY,2026-02-09,SHORT,EPCH2,PRIMARY,09:46:00,691.21,True,4.0,4,2026-02-09,09:45:00,691.19,691.475,690.92,691.025,366357,0.080315,-227735.43,-219484.07,12.0804,690.9893,690.1445,BULL,0.122262,WIDENING,ABOVE,0.269507,BULL,BULL,BULL,8,1,1,2026-02-15 17:41:10.423787+00:00
AVGO_020926_EPCH3_0946,AVGO,2026-02-09,LONG,EPCH3,SECONDARY,09:46:15,341.9,True,4.0,4,2026-02-09,09:45:00,341.0234,341.6099,340.71,341.095,149281,0.263827,-21548.62,356438.35,31.9315,338.9527,335.5942,BULL,0.984602,WIDENING,ABOVE,0.431724,BEAR,BEAR,BULL,8,5,5,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH4_0946,GOOG,2026-02-09,LONG,EPCH4,SECONDARY,09:46:15,322.181,True,1.0,1,2026-02-09,09:45:00,322.005,322.2549,321.41,321.455,91175,0.262836,-81462.9,-54344.19,-36.1283,322.4378,321.97,BULL,0.145504,WIDENING,BELOW,0.147212,BEAR,BEAR,BEAR,6,2,3,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH4_0946_1,GOOG,2026-02-09,LONG,EPCH4,SECONDARY,09:46:45,321.99,True,1.0,1,2026-02-09,09:45:00,322.005,322.2549,321.41,321.455,91175,0.262836,-81462.9,-54344.19,-36.1283,322.4378,321.97,BULL,0.145504,WIDENING,BELOW,0.147212,BEAR,BEAR,BEAR,6,2,3,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0947,QQQ,2026-02-09,LONG,EPCH2,PRIMARY,09:47:00,610.13,True,1.0,1,2026-02-09,09:46:00,609.39,610.44,609.23,610.42,309065,0.198224,298847.98,447311.96,-5.6801,609.3172,608.161,BULL,0.189419,WIDENING,ABOVE,0.295372,BEAR,BEAR,BULL,8,4,4,2026-02-15 17:41:10.423787+00:00
SPY_020926_EPCH2_0947,SPY,2026-02-09,SHORT,EPCH2,PRIMARY,09:47:30,691.24,True,4.0,4,2026-02-09,09:46:00,691.02,691.52,690.91,691.51,372246,0.088213,360041.21,473129.05,7.9587,691.106,690.2407,BULL,0.125137,WIDENING,ABOVE,0.241091,BULL,BULL,BULL,8,1,2,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH4_0947,GOOG,2026-02-09,LONG,EPCH4,SECONDARY,09:47:30,322.0742,True,1.0,1,2026-02-09,09:46:00,321.41,322.38,321.4,321.99,86244,0.304357,17600.82,68363.36,-41.2985,322.3056,322.0115,BULL,0.091332,NARROWING,BELOW,0.113461,BEAR,BEAR,BEAR,2,2,4,2026-02-15 17:41:10.423787+00:00
AVGO_020926_EPCH4_0947,AVGO,2026-02-09,LONG,EPCH4,SECONDARY,09:47:45,341.87,True,4.0,4,2026-02-09,09:46:00,341.03,342.99,340.86,342.9154,160576,0.621144,149328.14,398709.73,33.5761,339.6627,336.2012,BULL,1.009447,WIDENING,ABOVE,0.481049,BEAR,BEAR,BULL,8,5,5,2026-02-15 17:41:10.423787+00:00
SPY_020926_EPCH2_0948,SPY,2026-02-09,SHORT,EPCH2,PRIMARY,09:48:15,691.32,True,4.0,4,2026-02-09,09:47:00,691.52,691.555,690.5,691.38,518642,0.152593,346580.67,458049.36,42.7924,691.2116,690.3311,BULL,0.127342,WIDENING,ABOVE,0.24848,BULL,BULL,BULL,8,4,5,2026-02-15 17:41:10.423787+00:00
SPY_020926_EPCH2_0948_1,SPY,2026-02-09,SHORT,EPCH2,PRIMARY,09:48:30,691.3,True,4.0,4,2026-02-09,09:47:00,691.52,691.555,690.5,691.38,518642,0.152593,346580.67,458049.36,42.7924,691.2116,690.3311,BULL,0.127342,WIDENING,ABOVE,0.24848,BULL,BULL,BULL,8,4,5,2026-02-15 17:41:10.423787+00:00
SPY_020926_EPCH2_0949,SPY,2026-02-09,SHORT,EPCH2,PRIMARY,09:49:15,691.26,True,4.0,4,2026-02-09,09:48:00,691.38,691.61,691.24,691.485,264948,0.053508,85929.08,759600.28,-31.8649,691.251,690.4204,BULL,0.120115,WIDENING,ABOVE,0.258298,BULL,BULL,BULL,8,1,2,2026-02-15 17:41:10.423787+00:00
SPY_020926_EPCH2_0949_1,SPY,2026-02-09,SHORT,EPCH2,PRIMARY,09:49:30,691.14,True,3.0,3,2026-02-09,09:48:00,691.38,691.61,691.24,691.485,264948,0.053508,85929.08,759600.28,-31.8649,691.251,690.4204,BULL,0.120115,WIDENING,ABOVE,0.258298,BULL,BULL,BULL,8,1,2,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH4_0949,GOOG,2026-02-09,LONG,EPCH4,SECONDARY,09:49:45,322.05,False,-1.0,-1,2026-02-09,09:48:00,322.29,322.51,322.17,322.29,115026,0.105495,-33831.18,88653.22,-27.0014,322.2128,322.086,BULL,0.039351,NARROWING,ABOVE,0.108782,BEAR,BEAR,BEAR,4,0,2,2026-02-15 17:41:10.423787+00:00
AVGO_020926_EPCH4_0950,AVGO,2026-02-09,LONG,EPCH4,SECONDARY,09:50:15,341.585,False,-1.0,-1,2026-02-09,09:49:00,342.5949,343.5,342.5949,342.895,156052,0.263958,-52569.06,51014.82,13.0985,341.4717,337.8895,BULL,1.044698,WIDENING,ABOVE,0.478519,BEAR,BEAR,BULL,8,3,4,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0950,QQQ,2026-02-09,LONG,EPCH2,PRIMARY,09:50:30,609.46,False,-1.0,-1,2026-02-09,09:49:00,610.46,610.7,610.05,610.27,231899,0.10651,-74921.22,416245.61,-39.0085,609.8211,608.5146,BULL,0.214084,WIDENING,ABOVE,0.29007,BEAR,BEAR,BULL,8,2,2,2026-02-15 17:41:10.423787+00:00
AVGO_020926_EPCH4_0950_1,AVGO,2026-02-09,LONG,EPCH4,SECONDARY,09:50:30,341.7201,False,-1.0,-1,2026-02-09,09:49:00,342.5949,343.5,342.5949,342.895,156052,0.263958,-52569.06,51014.82,13.0985,341.4717,337.8895,BULL,1.044698,WIDENING,ABOVE,0.478519,BEAR,BEAR,BULL,8,3,4,2026-02-15 17:41:10.423787+00:00
AVGO_020926_EPCH4_0950_2,AVGO,2026-02-09,LONG,EPCH4,SECONDARY,09:50:45,341.79,False,-1.0,-1,2026-02-09,09:49:00,342.5949,343.5,342.5949,342.895,156052,0.263958,-52569.06,51014.82,13.0985,341.4717,337.8895,BULL,1.044698,WIDENING,ABOVE,0.478519,BEAR,BEAR,BULL,8,3,4,2026-02-15 17:41:10.423787+00:00
QQQ_020926_EPCH2_0950_1,QQQ,2026-02-09,LONG,EPCH2,PRIMARY,09:50:45,609.48,False,-1.0,-1,2026-02-09,09:49:00,610.46,610.7,610.05,610.27,231899,0.10651,-74921.22,416245.61,-39.0085,609.8211,608.5146,BULL,0.214084,WIDENING,ABOVE,0.29007,BEAR,BEAR,BULL,8,2,2,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH3_0951,GOOG,2026-02-09,SHORT,EPCH3,SECONDARY,09:51:00,319.945,True,1.0,1,2026-02-09,09:50:00,321.995,322.05,320.44,320.54,123040,0.502277,-107755.53,15920.3,-28.1943,321.8828,322.0983,BEAR,0.067248,NARROWING,BELOW,0.048653,BEAR,BEAR,BEAR,4,2,3,2026-02-15 17:41:10.423787+00:00
GOOG_020926_EPCH4_0951,GOOG,2026-02-09,SHORT,EPCH4,SECONDARY,09:51:15,319.93,True,1.0,1,2026-02-09,09:50:00,321.995,322.05,320.44,320.54,123040,0.502277,-107755.53,15920.3,-28.1943,321.8828,322.0983,BEAR,0.067248,NARROWING,BELOW,0.048653,BEAR,BEAR,BEAR,4,2,3,2026-02-15 17:41:10.423787+00:00
MSTR_020926_EPCH4_0951,MSTR,2026-02-09,SHORT,EPCH4,SECONDARY,09:51:30,130.43,True,1.0,1,2026-02-09,09:50:00,129.66,130.07,129.33,129.795,204588,0.57013,52529.35,209317.26,2.5676,129.1854,128.1268,BULL,0.815574,WIDENING,ABOVE,0.03666,BEAR,BEAR,BULL,8,4,4,2026-02-15 17:41:10.423787+00:00
MSTR_020926_EPCH2_0951,MSTR,2026-02-09,SHORT,EPCH2,PRIMARY,09:51:30,130.43,True,1.0,1,2026-02-09,09:50:00,129.66,130.07,129.33,129.795,204588,0.57013,52529.35,209317.26,2.5676,129.1854,128.1268,BULL,0.815574,WIDENING,ABOVE,0.03666,BEAR,BEAR,BULL,8,4,4,2026-02-15 17:41:10.423787+00:00
